text,drug,effect
"She developed a generalized rash and itching, sore throat, and dizziness approximately 4 hours after the first dose of capecitabine.",capecitabine,generalized rash
"She developed a generalized rash and itching, sore throat, and dizziness approximately 4 hours after the first dose of capecitabine.",capecitabine,itching
"She developed a generalized rash and itching, sore throat, and dizziness approximately 4 hours after the first dose of capecitabine.",capecitabine,sore throat
"After five and six weeks of continuous oral administration of methylprednisolone, the boys developed steroid diabetes.",methylprednisolone,steroid diabetes
Reduction of methylprednisolone dosage rather than insulin therapy resulted in better control of glycemia.,methylprednisolone,glycemia
"Contrary to previous recommendations, our experience cautions against the further use of high-dose cytarabine in patients who develop PPE, and is a timely reminder of the potential toxicity of this agent, which is now increasingly being used as first-line treatment in the management of haematologic malignancies.",cytarabine,PPE
It has been suggested that PPE caused by cytarabine does not recur with subsequent cytarabine re-challenge.,cytarabine,PPE
Recurrent palmar-plantar erythrodysaesthesia following high-dose cytarabine treatment for acute lymphoblastic leukemia.,cytarabine,palmar-plantar erythrodysaesthesia
"We report a patient with recurrent, increasingly severe episodes of PPE, ultimately complicated by a severe bullous eruption, following successive cycles of high-dose cytarabine for the treatment of acute lymphoblastic leukaemia.",cytarabine,bullous eruption
"We report a patient with recurrent, increasingly severe episodes of PPE, ultimately complicated by a severe bullous eruption, following successive cycles of high-dose cytarabine for the treatment of acute lymphoblastic leukaemia.",cytarabine,PPE
Atypical endometriosis may act as a precancerous lesion in the process of tamoxifen-induced malignant transformation of endometriosis.,tamoxifen,malignant transformation of endometriosis
BACKGROUND: Ovarian cancer arising from an endometriotic cyst in a postmenopausal woman under tamoxifen therapy is rare.,tamoxifen,Ovarian cancer
CONCLUSION: Tamoxifen may cause malignant transformation of endometriosis through atypical endometriosis even in the postmenopausal state.,Tamoxifen,malignant transformation of endometriosis
Ovarian endometrioid adenocarcinoma arising from an endometriotic cyst in a postmenopausal woman under tamoxifen therapy for breast cancer: a case report.,tamoxifen,Ovarian endometrioid adenocarcinoma
"Clinical, spectroscopic, and imaging abnormalities resolved with discontinuation of metronidazole.",metronidazole,"Clinical, spectroscopic, and imaging abnormalities"
Proton MRS examination demonstrated a persistent lactate elevation during metronidazole treatment.,metronidazole,lactate elevation
Reversible MR imaging and MR spectroscopy abnormalities in association with metronidazole therapy.,metronidazole,Reversible MR imaging and MR spectroscopy abnormalities
After nine previous uncomplicated cycles she developed severe anaphylaxis to cisplatin.,cisplatin,anaphylaxis
Anaphylaxis to cisplatin following nine previous uncomplicated cycles.,cisplatin,Anaphylaxis
Anaphylaxis to cisplatin is an infrequent life-threatening complication which may occur even in patients who have received prior treatment with cisplatin.,cisplatin,Anaphylaxis
"Although isradipine has been associated with hepatocellular injury, there are no reports of fulminant liver failure with this agent, and our patient had been treated for >2 years without signs of toxicity.",isradipine,hepatocellular injury
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",clarithromycin,increasing the hepatic toxicity
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",isradipine,increasing the hepatic toxicity
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",isradipine,increasing the hepatic toxicity
CASE SUMMARY: A 58-year-old white woman developed fulminant liver failure while being treated with the macrolide antibiotic clarithromycin for pneumonia.,clarithromycin,fulminant liver failure
CONCLUSIONS: Clarithromycin may be a cause of fulminant liver failure either alone or by inhibiting the metabolism of other drugs.,Clarithromycin,fulminant liver failure
Fulminant liver failure associated with clarithromycin.,clarithromycin,Fulminant liver failure
OBJECTIVE: To report a patient developing fulminant liver failure while being treated with clarithromycin for pneumonia.,clarithromycin,fulminant liver failure
"The most likely cause of liver failure in this patient was, therefore, clarithromycin, which undergoes hepatic metabolism and has been reported to cause fulminant hepatic failure.",clarithromycin,fulminant hepatic failure
"The most likely cause of liver failure in this patient was, therefore, clarithromycin, which undergoes hepatic metabolism and has been reported to cause fulminant hepatic failure.",clarithromycin,liver failure
A paradoxical ocular effect of brimonidine.,brimonidine,paradoxical ocular effect
CONCLUSION: Under certain circumstances topical brimonidine can cause paradoxical raised IOP necessitating vigilance in follow-up of patients on topical brimonidine.,brimonidine,paradoxical raised IOP
PURPOSE: We report an unusual paradoxical effect of brimonidine.,brimonidine,paradoxical effect
"RESULTS: Brimonidine was observed to cause IOP elevation, confirmed on rechallenge, scoring 8 (strong probability) on an adverse drug reaction probability score.",Brimonidine,IOP elevation
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,anxiety
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,diaphoresis
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,generalized seizures
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,generalized seizures
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,palpitations
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,status epilepticus
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.",gabapentin,status epilepticus
Gabapentin withdrawal presenting as status epilepticus.,Gabapentin,status epilepticus
"Although visual hallucinations have not been reported as an adverse effect of this agent, we describe three patients who experienced complex visual hallucinations and altered mental status after zonisamide treatment was begun or its dosage increased.",zonisamide,altered mental status
"Although visual hallucinations have not been reported as an adverse effect of this agent, we describe three patients who experienced complex visual hallucinations and altered mental status after zonisamide treatment was begun or its dosage increased.",zonisamide,visual hallucinations
Visual hallucinations associated with zonisamide.,zonisamide,Visual hallucinations
Doxycycline-induced hypoglycemia in a nondiabetic young man.,Doxycycline,hypoglycemia
We report the first case of doxycycline-induced hypoglycemia in a young nondiabetic man.,doxycycline,hypoglycemia
"For patients who suffer from osteogenic sarcoma and have anaphylactic reactions to MTX, this desensitization protocol will allow these patients to continue with needed therapeutic or palliative chemotherapy.",MTX,anaphylactic reactions
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.",MTX,chest tightness
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.",MTX,cough
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.",MTX,diffuse urticaria
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.",MTX,facial swelling
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.",MTX,hypersensitivity reaction
He was later skin tested to confirm allergy to MTX.,MTX,allergy
Successful desensitization to high-dose methotrexate after systemic anaphylaxis.,methotrexate,systemic anaphylaxis
The successful development and implementation of this protocol will have impact on patients who have anaphylactic reactions to MTX but require this medication for specific diseases.,MTX,anaphylactic reactions
The authors report a case of Balint syndrome with irreversible posterior leukoencephalopathy on MRI following intrathecal methotrexate and cytarabine.,cytarabine,Balint syndrome
The authors report a case of Balint syndrome with irreversible posterior leukoencephalopathy on MRI following intrathecal methotrexate and cytarabine.,methotrexate,Balint syndrome
The authors report a case of Balint syndrome with irreversible posterior leukoencephalopathy on MRI following intrathecal methotrexate and cytarabine.,cytarabine,posterior leukoencephalopathy
The authors report a case of Balint syndrome with irreversible posterior leukoencephalopathy on MRI following intrathecal methotrexate and cytarabine.,methotrexate,posterior leukoencephalopathy
We present a unique case of GTBM in a patient with myeloma following treatment with Melphalan.,Melphalan,GTBM
Patients with lymphoblastic lymphoma who had treatment with L-asparaginase and steroid are predisposed to the development of cortical venous thrombosis and may have this syndrome in addition to a dural puncture headache.,L-asparaginase,cortical venous thrombosis
Patients with lymphoblastic lymphoma who had treatment with L-asparaginase and steroid are predisposed to the development of cortical venous thrombosis and may have this syndrome in addition to a dural puncture headache.,L-asparaginase,dural puncture headache
Interstitial pneumonitis associated with sirolimus: a dilemma for lung transplantation.,sirolimus,Interstitial pneumonitis
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",Rapamycin,pneumonitis
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",sirolimus,pneumonitis
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",Rapamycin,pulmonary infiltrate
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",sirolimus,pulmonary infiltrate
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",SR,pulmonary infiltrate
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapammune,hyperlipidemia
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapamycin,hyperlipidemia
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",sirolimus,hyperlipidemia
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",SR,hyperlipidemia
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapammune,hypertension
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapamycin,hypertension
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",sirolimus,hypertension
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",SR,hypertension
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapammune,infection
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapamycin,infection
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",sirolimus,infection
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",SR,infection
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapammune,myelosuppression
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",Rapamycin,myelosuppression
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",sirolimus,myelosuppression
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.",SR,myelosuppression
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",lithium,fever
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",olanzapine,fever
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",lithium,generalized rigidity
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",olanzapine,generalized rigidity
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",lithium,increased serum transaminase and creatine kinase
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",olanzapine,increased serum transaminase and creatine kinase
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",lithium,leukocytosis
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.",olanzapine,leukocytosis
Concomitant administration of lithium with olanzapine may place patients at risk for NMS.,lithium,NMS
Concomitant administration of lithium with olanzapine may place patients at risk for NMS.,olanzapine,NMS
Neuroleptic malignant syndrome in an adolescent receiving olanzapine-lithium combination therapy.,lithium,Neuroleptic malignant syndrome
Neuroleptic malignant syndrome in an adolescent receiving olanzapine-lithium combination therapy.,olanzapine,Neuroleptic malignant syndrome
Both 6-MP and AZA are widely used and are known to cause hepatotoxicity in a proportion of patients.,6-MP,hepatotoxicity
Both 6-MP and AZA are widely used and are known to cause hepatotoxicity in a proportion of patients.,AZA,hepatotoxicity
Hepatotoxicity associated with 6-thioguanine therapy for Crohn's disease.,6-thioguanine,Hepatotoxicity
This case highlights the need to monitor liver enzymes in patients treated with 6-TG and identifies the need for additional research focused on the mechanism of thiopurine-induced hepatic injury.,thiopurine,hepatic injury
"We believe the temporal association of the abnormal liver enzymes in this patient, in the absence of other offending agents, argues strongly in favor of 6-TG as a cause of liver enzyme abnormalities.",6-TG,abnormal liver enzymes
"We believe the temporal association of the abnormal liver enzymes in this patient, in the absence of other offending agents, argues strongly in favor of 6-TG as a cause of liver enzyme abnormalities.",6-TG,liver enzyme abnormalities
We describe a case of significant elevation of serum transaminases in a patient treated with 6-TG for a flare of Crohn's disease.,6-TG,elevation of serum transaminases
Early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,lisinopril,multiorgan failure
We observed transient panhypogammaglobulinaemia in a patient with neuropsychiatric SLE after treatment with prednisolone and cyclophosphamide.,cyclophosphamide,panhypogammaglobulinaemia
We observed transient panhypogammaglobulinaemia in a patient with neuropsychiatric SLE after treatment with prednisolone and cyclophosphamide.,prednisolone,panhypogammaglobulinaemia
Fulminant hepatic failure developed in a 24-year-old black woman who had been treated with propylthiouracil and propranolol for hyperthyroidism.,propranolol,Fulminant hepatic failure
Fulminant hepatic failure developed in a 24-year-old black woman who had been treated with propylthiouracil and propranolol for hyperthyroidism.,propylthiouracil,Fulminant hepatic failure
Fulminant hepatitis and lymphocyte sensitization due to propylthiouracil.,propylthiouracil,Fulminant hepatitis
These observations indicate that submassive hepatic necrosis may result from treatment with propylthiouracil and are consistent with the notion that sensitization mechanisms may be responsible for the hepatic injury induced by this drug.,propylthiouracil,hepatic injury
These observations indicate that submassive hepatic necrosis may result from treatment with propylthiouracil and are consistent with the notion that sensitization mechanisms may be responsible for the hepatic injury induced by this drug.,propylthiouracil,submassive hepatic necrosis
The diagnosis of hypothermia was delayed until it was apparent for several days but resolved with the discontinuation of risperidone and continuation of clozapine.,risperidone,hypothermia
"This is a case report of subtle, mild hypothermia in a 54-year old female patient receiving risperidone for schizophrenia.",risperidone,hypothermia
"Akathisia is a relatively rare side effect with the newer atypical antipsychotic agents, particularly clozapine, and is easily misdiagnosed in children.",clozapine,Akathisia
Clozapine-induced akathisia in children with schizophrenia.,Clozapine,akathisia
Two cases of childhood-onset schizophrenia associated with clozapine-induced akathisia responsive to beta-blocker treatment are described.,clozapine,akathisia
After reviewing the literature we suggest the CPM was a complication of lithium toxicity which affected the lateral geniculate nucleus which produced blindness.,lithium,blindness
After reviewing the literature we suggest the CPM was a complication of lithium toxicity which affected the lateral geniculate nucleus which produced blindness.,lithium,CPM
Central pontine myelinolysis manifested by temporary blindness: a possible complication of lithium toxicity.,lithium,Central pontine myelinolysis
Central pontine myelinolysis manifested by temporary blindness: a possible complication of lithium toxicity.,lithium,temporary blindness
Antithyroid treatment with propylthiouracil (PTU) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (CBZ).,propylthiouracil,elevated hepatic enzymes
Antithyroid treatment with propylthiouracil (PTU) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (CBZ).,PTU,elevated hepatic enzymes
Successful treatment with carbimazole of a hyperthyroid pregnancy with hepatic impairment after propylthiouracil administration: a case report.,propylthiouracil,hepatic impairment
Interferon-alpha (IFN-alpha) may precipitate or exacerbate the occurrence of MPGN.,IFN-alpha,MPGN
Interferon-alpha (IFN-alpha) may precipitate or exacerbate the occurrence of MPGN.,Interferon-alpha,MPGN
Minimal change disease in a patient receiving IFN-alpha therapy for chronic hepatitis C virus infection.,IFN-alpha,Minimal change disease
A 58-yr-old male patient with essential thrombocythaemia (ET) developed chronic myeloid leukaemia (CML) after continuous uneventful treatment with hydroxyurea for 18 yr.,hydroxyurea,chronic myeloid leukaemia
A 58-yr-old male patient with essential thrombocythaemia (ET) developed chronic myeloid leukaemia (CML) after continuous uneventful treatment with hydroxyurea for 18 yr.,hydroxyurea,CML
Emergence of Philadelphia positive chronic myeloid leukaemia during treatment with hydroxyurea for Philadelphia negative essential thrombocythaemia.,hydroxyurea,Philadelphia positive chronic myeloid leukaemia
There are no previous reports in the literature about the emergence of CML during treatment with hydroxyurea.,hydroxyurea,CML
"His fever resolved, but he developed symptoms consistent with those of chloroquine toxicity.",chloroquine,chloroquine toxicity
OBJECTIVE: To report a case of severe chloroquine toxicity in the presence of high-grade chloroquine-resistant Plasmodium vivax.,chloroquine,severe chloroquine toxicity
Toxicity related to chloroquine treatment of resistant vivax malaria.,chloroquine,Toxicity
A 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole.,carbimazole,fever
A 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole.,carbimazole,sore throat
Treatment of carbimazole-induced agranulocytosis and sepsis with granulocyte colony stimulating factor.,carbimazole,agranulocytosis
Treatment of carbimazole-induced agranulocytosis and sepsis with granulocyte colony stimulating factor.,carbimazole,sepsis
We present the management of agranulocytosis and neutropenic sepsis secondary to carbimazole with recombinant human granulocyte colony stimulating factor (G-CSF).,carbimazole,agranulocytosis
We present the management of agranulocytosis and neutropenic sepsis secondary to carbimazole with recombinant human granulocyte colony stimulating factor (G-CSF).,carbimazole,neutropenic sepsis
Comeoscleral perforation after pterygium excision and intraoperative mitomycin C.,mitomycin C,Comeoscleral perforation
"To the best of our knowledge, corneoscleral melting in the first postoperative week after a single intraoperative application of mitomycin C has not been reported.",mitomycin C,corneoscleral melting
"A 71-year-old man, who had a history of a previous bullous drug reaction to a sulfonamide, began receiving an ophthalmic preparation that contained sulfacetamide sodium.",sulfonamide,bullous drug reaction
"The patient received only the ophthalmic sulfonamide, and it was used for one day, but he developed Stevens-Johnson syndrome.",sulfonamide,Stevens-Johnson syndrome
The sulfonamides are the best verified drug-trigger for erythema multiforme and Stevens-Johnson syndrome.,sulfonamides,erythema multiforme
The sulfonamides are the best verified drug-trigger for erythema multiforme and Stevens-Johnson syndrome.,sulfonamides,Stevens-Johnson syndrome
"Based on these findings, the patient was diagnosed with diabetes insipidus secondary to lithium therapy and was treated successfully with amiloride.",lithium,diabetes insipidus
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,lithium,lithium toxicity
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,lithium,nephrogenic diabetes insipidus
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,lithium,nephrogenic diabetes insipidus
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,lithium,polyuria
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,lithium,polyuria
Treatment of lithium-induced diabetes insipidus with amiloride.,lithium,diabetes insipidus
Systemic capillary leak syndrome after granulocyte colony-stimulating factor (G-CSF).,G-CSF,Systemic capillary leak syndrome
Systemic capillary leak syndrome after granulocyte colony-stimulating factor (G-CSF).,granulocyte colony-stimulating factor,Systemic capillary leak syndrome
"We present two cases in which both patients suffered with CLS, which we believe was caused following administration of granulocyte colony-stimulating factor, to our knowledge not described in the intensive care patient previously.",granulocyte colony-stimulating factor,CLS
"FK506, which began to be administered 12 days earlier, rose to a level of 44 ng/mL (normal range, 10-20 ng/mL) 1 day before neurologic abnormalities began.",FK506,neurologic abnormalities
Rapid identification of speech loss linked to FK506 may be important because reduction or cessation of the drug may be associated with reverse of speech loss.,FK506,speech loss
"Tacrolimus (FK506), an immunosuppressant, has been associated with mutism in adults after liver transplant.",FK506,mutism
"Tacrolimus (FK506), an immunosuppressant, has been associated with mutism in adults after liver transplant.",Tacrolimus,mutism
Tacrolimus (FK506)-induced mutism after liver transplant.,FK506,mutism
Tacrolimus (FK506)-induced mutism after liver transplant.,Tacrolimus,mutism
"Does the use of insulin in a patient with liver dysfunction increase water retention in the body, i.e. cause insulin oedema?",insulin,oedema
"Soon after introduction of insulin therapy, she developed severe anasarca, including marked peripheral oedema, ascites and pleural effusion.",insulin,ascites
"Soon after introduction of insulin therapy, she developed severe anasarca, including marked peripheral oedema, ascites and pleural effusion.",insulin,peripheral oedema
"Soon after introduction of insulin therapy, she developed severe anasarca, including marked peripheral oedema, ascites and pleural effusion.",insulin,pleural effusion
"Soon after introduction of insulin therapy, she developed severe anasarca, including marked peripheral oedema, ascites and pleural effusion.",insulin,severe anasarca
"The induced hyperglycaemia could not be controlled sufficiently, despite a high dose of insulin (> 110 units/day), suggesting the existence of insulin insensitivity and hyperinsulinaemia.",insulin,hyperinsulinaemia
"The induced hyperglycaemia could not be controlled sufficiently, despite a high dose of insulin (> 110 units/day), suggesting the existence of insulin insensitivity and hyperinsulinaemia.",insulin,insulin insensitivity
"We conjectured that the side effects of insulin, such as anti-natriuresis and increased vascular permeability, might be pronounced in the presence of the hepatic dysfunction that accompanies insulin insensitivity, hyperinsulinaemia and hypoalbuminaemia.",insulin,anti-natriuresis
"We conjectured that the side effects of insulin, such as anti-natriuresis and increased vascular permeability, might be pronounced in the presence of the hepatic dysfunction that accompanies insulin insensitivity, hyperinsulinaemia and hypoalbuminaemia.",insulin,hyperinsulinaemia
"We conjectured that the side effects of insulin, such as anti-natriuresis and increased vascular permeability, might be pronounced in the presence of the hepatic dysfunction that accompanies insulin insensitivity, hyperinsulinaemia and hypoalbuminaemia.",insulin,hypoalbuminaemia
"We conjectured that the side effects of insulin, such as anti-natriuresis and increased vascular permeability, might be pronounced in the presence of the hepatic dysfunction that accompanies insulin insensitivity, hyperinsulinaemia and hypoalbuminaemia.",insulin,increased vascular permeability
"We conjectured that the side effects of insulin, such as anti-natriuresis and increased vascular permeability, might be pronounced in the presence of the hepatic dysfunction that accompanies insulin insensitivity, hyperinsulinaemia and hypoalbuminaemia.",insulin,insulin insensitivity
"While 40 mg/day of prednisolone improved hepatic dysfunction dramatically, her diabetic milieu deteriorated seriously.",prednisolone,diabetic milieu deteriorated
Intrathecal methotrexate-induced acute cerebellar syndrome.,methotrexate,acute cerebellar syndrome
We describe a patient who developed acute cerebellar syndrome after prophylactic intrathecal methotrexate administration and recovered spontaneously.,methotrexate,acute cerebellar syndrome
Angioimmunoblastic lymphadenopathy with dysproteinemia following doxycycline administration.,doxycycline,Angioimmunoblastic lymphadenopathy with dysproteinemia
We report a case of AILD in an 80-year-old male who presented with a generalized pruritic maculopapular eruption and fever following doxycycline administration.,doxycycline,AILD
We report a case of AILD in an 80-year-old male who presented with a generalized pruritic maculopapular eruption and fever following doxycycline administration.,doxycycline,fever
We report a case of AILD in an 80-year-old male who presented with a generalized pruritic maculopapular eruption and fever following doxycycline administration.,doxycycline,generalized pruritic maculopapular eruption
Anaphylaxis from isoniazid is a possible side effect to this commonly prescribed antibiotic.,isoniazid,Anaphylaxis
Isoniazid-induced anaphylaxis.,Isoniazid,anaphylaxis
"A case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (PTH) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.",magnesium sulfate,low plasma parathyroid hormone
"A case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (PTH) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.",magnesium sulfate,PTH
"A case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (PTH) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.",magnesium sulfate,severe hypocalcemia
Carbamazepine-related hyponatremia following cardiopulmonary bypass.,Carbamazepine,hyponatremia
We discuss the association between carbamazepine and hyponatremia and the causes of hyponatremia after cardiopulmonary bypass.,carbamazepine,hyponatremia
"After 5-ASA was discontinued, the polyneuropathy symptoms recovered gradually.",5-ASA,polyneuropathy
Sensorimotor polyneuropathy with 5-aminosalicylic acid: a case report.,5-aminosalicylic acid,Sensorimotor polyneuropathy
This clinical course suggests that the sensorimotor polyneuropathy may have been caused by 5-ASA.,5-ASA,sensorimotor polyneuropathy
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-aminosalicylic acid,atrophy
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-ASA,atrophy
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-aminosalicylic acid,gait disturbance
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-ASA,gait disturbance
