"damage_class","narr_cause"
"Substantial","The pilot's improper decision to continue the flight into deteriorating weather."
"Substantial","pilot's continued visual flight into instrument meteorological conditions."
"Substantial","Loss of engine power in cruise flight for undetermined reasons and subsequent forced landing in water."
"Substantial","A total loss of engine power during cruise flight over rough terrain for undetermined non-mechanical reasons."
"Destroyed","The failure of the pilot to maintain control of the aircraft during a rejected landing and the collision with the terrain and mangrove trees. A finding in the investigation was the presence of quinine in the blood and urine during postmortem toxicological testing of specimens from the pilot."
"Substantial","the pilot's failure to compensate for the wind conditions during takeoff, which resulted in a ground loop."
"Substantial","the pilot's failure to maintain directional control during takeoff. A contributing factors was the gusty crosswind condition."
"Destroyed","The pilot's intentional visual flight into instrument meteorological conditions.  Contributing to the accident was the pilot's improper weather evaluation and lack of total experience."
"Substantial","Fatigue cracking of the propeller hub that resulted in the in-flight separation of a propeller blade."
"Substantial","The pilot's inadequate compensation for the existing crosswind condition, and his failure to maintain runway alignment."
"Substantial","The loss of engine power for undetermined reasons. Conditions for carburetor icing were present at the time of the accident."
"Destroyed","The pilot not maintaining aircraft control while maneuvering after takeoff and the pilot's inadequate preflight planning and preparation.  Factors relating to the accident were the pilot's diverted attention while maneuvering after takeoff, the pilot's attempted VFR flight into instrument meteorological conditions, the pilot's visual lookout not being possible, the low ceiling, snow, and fog, the airplane's low altitude, and the building."
"Substantial","The fuel starvation.  Factors were the loose line at the distribution valve, the inadequate annual inspection the owner/pilot mechanic performed, the unsuitable terrain the pilot encountered during the emergency landing after takeoff, and the trees."
"Substantial","The pilot's failure to maintain control of the airplane during climb out that resulted in the in-flight collision with the ground.  A factor was the physical impairment."
"Substantial","The student pilot's inadequate compensation for the exisiting crosswind and his improper landing flare that resulted in a hard landing, and loss of directional control during the landing roll."
"Substantial","The pilot's continued VFR flight into instrument meteorological conditions, and his failure to maintain adequate distance/altitude from terrain, resulting in a collision with terrain while maneuvering.  Factors in the accident were flat light conditions, snow-covered terrain, and the pilot's failure to utilize on-board Capstone flight/navigation instruments to display terrain awareness data."
"Substantial","THE PILOTS FAILURE TO PROPERLY USE THE HELICOPTER CHECKLIST"
"Minor","The captain's activation of the left propeller feathering button after failure of the right engine for undetermined reasons resulting in loss of all engine power and the airplane making a forced landing in water."
"Substantial","The pilot in command, flight instructor's delayed feathering of the right propeller after engine failure resulting in the airplane being unable to maintain altitude with the remaining engine and damage to the airplane during a forced landing in a field."
"Substantial","The pilot's inadequate compensation for the runway conditions.  Factors included the soggy runway conditions, and the lack of available takeoff performance data in the owners manual."
"Substantial","The certified flight instructor's inadequate supervision of the dual student who failed to recognize the extent of the crosswind and lost directional control.  A factor in the accident was the variable wind condition."
"Substantial","The pilot's premature raising of flaps resulting in his failure to establish a climb and his failure to maintain directional control."
"Substantial","the pilot's inadequate preflight planning resulting in fuel exhaustion during approach.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's failure to maintain directional control while landing.  Factors were the pilot's inadequate weather evaluation and a tailwind."
"Substantial","The throttle linkage disconnection resulting in the engine producing idle power.  A factor was the lack of suitable terrain for a forced landing."
"Substantial","the pilot's failure to maintain tail rotor clearance during a right pedal turn while hovering."
"Destroyed","The pilot disregarded preflight weather briefing information, and continued visual flight into known instrument weather conditions and collided with trees."
"Substantial","the pilot's failure to refuel the airplane, which resulted in fuel exhaustion while in the traffic pattern."
"Substantial","the loss of engine power while on final approach due to fuel starvation as a result of the pilot's improper use of the fuel selector.  A contributing factor was the elevated runway edge."
"Substantial","The pilot's failure to flare on landing resulting in a hard landing."
"Destroyed","the pilot's continued VFR flight into IMC, which resulted in spatial disorientation and the ensuing loss of aircraft control while in cruise flight.  Contributory factors were the haze and fog weather conditions."
"Substantial","the pilot's failure to maintain airspeed during takeoff/initial climb, which resulted in an inadvertent stall, an uncontrolled descent, and collision with the ground. Contributing to the accident was the pilot's distraction with the landing gear system."
"Substantial","the pilot's improper preflight inspection, which resulted in his operating an aircraft with contaminated fuel that resulted in a loss of engine power and and a forced landing to a field and damage to the aircraft during the forced landing."
"Substantial","a loose mixture control cable housing which resulted in an intermittent running engine, and the pilot's subsequent decision to perform a precautionary landing.  A factor was the soft terrain."
"Substantial","pilot's failure to properly control the helicopter during a slope landing, which resulted in a dynamic rollover."
"Substantial","the inadvertent stall by the pilot while maneuvering at low altitude.  A contributory factor was the tailwind."
"Substantial","failure of the pilot to maintain directional control of the aircraft during the landing rollout while landing in a crosswind which resulted in a ground swerve and substantial damage to the aircraft."
"Destroyed","the pilot in command inadvertently allowing the airplane to stall/spin. Contributing factors were the pilot's total lack of experience in airplane make/model, and high wind conditions."
"Substantial","The pilot's failure to extend the landing gear.  A factor was the pilot's failure to use the landing checklist."
"Substantial","The inadequate preflight performed by the pilot which resulted in an insufficient fuel supply and the subsequent fuel exhaustion.  Factors associated with the accident were the inaccurate fuel quantity indicator, the rock which resulted in the overload failure of the right main landing gear, and the embankment which the airplane traveled down."
"Substantial","the pilot's failure to maintain control of the airplane during initial climb. Factors include the gusty wind and high density altitude conditions."
"Substantial","The glider's encounter with a dust devil during takeoff that resulted in a loss of control."
"Destroyed","The partial loss of engine power, for undetermined reasons.  Factors included the headwinds on base leg, and the unsuitable terrain for a forced landing."
"Substantial","The pilot's improper flare."
"Destroyed","The pilot's excessive bank angle and his failure to maintain airspeed while returning to the airport after takeoff due to an unspecified problem resulting in the airplane stalling and colliding with trees during the resultant uncontrolled descent."
"Minor","The Boeing 767 captain's misjudgment of the distance between his airplane and the stationary Boeing 737, which resulted in a ground collision.  A factor was sunglare."
"Minor","The Boeing 767 captain's misjudgment of the distance between his airplane and the stationary Boeing 737, which resulted in a ground collision.  A factor was sunglare."
"Substantial","The Boeing 767 captain's misjudgment of the distance between his airplane and the stationary Boeing 737, which resulted in a ground collision.  A factor was sunglare."
"Substantial","The Boeing 767 captain's misjudgment of the distance between his airplane and the stationary Boeing 737, which resulted in a ground collision.  A factor was sunglare."
"None","An inadvertent encounter with turbulence during descent."
"Substantial","the flight instructor's inadequate supervision  and the dual student's improper use of brakes which resulted in the loss of directional control and collision with a wind sock. Contributing to the accident was the flight instructor's failure to follow procedures/directives."
"Substantial","The pilot's delay in aborting the takeoff in a downwind condition resulting in an overrun and subsequent collision with a ditch. Contributing to the accident was the pilot's failure to conduct performance planning for the flight."
"Destroyed","the pilot's inadequate weather evaluation and attempted VFR flight into IMC, which resulted in an in-flight collision with mountainous terrain.  Factors in the accident included the adverse weather conditions and the dusk lighting conditions."
"Substantial","The pilot's failure to maintain altitude and/or clearance over trees, resulting in a collision with trees, separation of a wing and uncontrolled collision with terrain.  Factors included the pilot's inadequate preflight planning and preparation, dark night conditions, low ceilings, and mixed rain/snow precipitation conditions."
"Substantial","the pilot's misjudged landing flare, which resulted in a hard landing.  A factor was the propeller tip separation due to foreign object damage."
"Substantial","fuel exhaustion during takeoff due to the pilot's failure to refuel."
"Destroyed","the pilot's delay in taking remedial action (contacting ATC) after he became lost/disoriented during a night cross country flight, which resulted in a forced landing due to fuel exhaustion.  Contributing factors to the accident were the pilot's failure to contact a flight service station for a weather briefing, the low clouds and dark night light conditions."
"Substantial","An overload force being exerted on the nosewheel gear assembly for  undetermined reason."
"Substantial","The poor in-flight planning by the pilot for failure to maintain adequate airspeed while maneuvering to begin spray operations resulting in the loss of tail rotor effectiveness, subsequent in flight loss of control, and in flight collision with terrain."
"Substantial","the CFI delayed remedial action during  the takeoff.  Additional factors were the wrong runway was selected, the tailwind, and the trees."
"Substantial","The pilot's failure to maintain runway alignment during the landing phase.  A factor in the accident was a sudden change in wind direction and speed."
"Substantial","the pilot's failure to maintain directional control during flare/landing."
"Substantial","The pilot's failure to extend the airplane's landing gear while landing."
"Substantial","The failure of the pilot to maintain directional control during landing roll."
"Substantial","The normal brake system was inoperative due to undetermined reasons.  A factor associated with the accident was the ditch that the airplane encountered."
"Substantial","the water contamination of the aircraft's fuel system and the inadequate preflight performed by the pilot.  The muddy terrain was a contributing factor."
"Substantial","The pilot's inadvertent stall while maneuvering.  A factor associated with the accident was soft, snow-covered terrain."
"Substantial","The failure of the pilot to attach the elevator control rod to the elevator, resulting in a loss of pitch control and subsequent ground impact.  Additional factors were the failure to complete a positive control check and the lack of clear guidance in the assembly procedures."
"Destroyed","the pilot's failure to maintain airspeed which resulted in an inadvertant stall during initial takeoff climb.  A contributing factor was wind gusts."
"Substantial","The flight instructor's inadequate supervision during the landing.  Factors were the improper use of the flight controls by the pilot/owner, the crosswind, and the muddy terrain."
"Substantial","The pilot's failure to maintain the proper descent rate and the flight instructor's inadequate supervision."
"Substantial","the pilot's inadequate recovery from a bounced landing, and loss of directional control which resulted in an in-flight collision with a fence during the go-around, resulting in a subsequent forced landing in a pasture."
"Substantial","The loss of engine power during cruise flight for undetermined reasons that resulted in a forced landing in rough terrain."
"Substantial","The instructor pilot's lack of adequate supervision of the training flight, and subsequent loss of directional control during the landing roll out.  Factors on the accident were the lack of brake pedals installed on the right pilot position of the airplane, and the student pilot's failure to maintain directional control of the airplane."
"Substantial","The pilot's failure to maintain directional control of the airplane after encounter wind gusts during landing roll resulting in the airplane ground looping to the left and the right wing, right horizontal stabilizer, and right elevator contacting the runway and receiving substantial damage."
"Substantial","Inadequate preflight inspection/preparation of the aircraft by the pilot and consequent foreign object fouling of the rudder control, rendering directional control impossible.  A factor was the pilot's distraction/preoccupation with personal problems."
"Substantial","the failure of the airplane's electrical system for an undetermined reason, which resulted in the collapse of the left main gear on landing."
"Substantial","failure of the flight instructor  to maintain directional control of the aircraft during the landing rollout while landing with a crosswind in gusty conditions, which resulted in a ground swerve, and the aircraft exiting the runway and incurring substantial damage when it became stuck in sand."
"None","The flight dispatcher failure to provide the flight crew with current in-flight turbulence information that resulted in the in-flight encounter with turbulence during climb.  A factor was the pilots failure to obtain adequate weather information."
"Destroyed","the pilot's failure to maintain aircraft control, and the subsequent inadvertent stall/mush to the ground.  Contributing factors were the pilot's lack of experience in make/model airplane, the high density altitude weather condition, and the pilot's attempted departure with a tailwind."
"Substantial","The pilot's failure to maintain proper runway alignment during an attempted go-around, resulting in an inflight collision with a wind sock.  Factors were a short runway/landing area condition, the pilot's excessive airspeed on final approach, and the wind sock."
"Substantial","The pilot's continued VFR flight into instrument meteorological conditions while maneuvering.  Factors in the accident were low ceilings, snow showers, whiteout conditions, and snow-covered terrain."
"Substantial","The inadvertent wheels-up landing by the pilot.  A factor was the pilots failure to follow the before landing checklist."
"Destroyed","The pilot's failure to maintain adequate airspeed which resulted in a stall.  The low altitude was a contributing factor."
"Substantial","the failure of the pilot to verify the landing gear was extended prior to landing, due to diverted attention."
"Substantial","The pilot's delay reversing course while flying toward rising terrain in a box canyon.  Factors in the accident included a downdraft on the lee side of a ridge forming the box canyon, high density altitude, and the pilot's improper use of flaps."
"Substantial","The pilot's premature flare, which resulted in an inadvertent stall and a bounced landing.  A factor was the improper recovery from a bounced landing."
"Destroyed","loss of engine power for undetermined reasons, the pilot operating the helicopter outside of the height-velocity curve, and the pilot's failure to maintain control of the helicopter during the emergency landing.  Factors relating to the accident were the pilot's attempted run-on landing and his improper in-flight decision to not land immediately after experiencing the engine problem."
"Substantial","The pilot's failure to maintain directional control during the landing flare.  A factor was the wind gusts."
"Destroyed","The student pilot's failure to maintain adequate airspeed while maneuvering the airplane at low altitude.  A factor was the pilot's overconfidence in his abilities."
"Substantial","The loss of engine power for undetermined reasons during takeoff, resulting in an inflight collision with trees during the subsequent emergency landing. A factor in the accident was the lack of suitable terrain to conduct an emergency landing."
"Destroyed","The pilot's exceeding the forward center of gravity (CG) ) limits at the time of engine start, the inability of the pilot to control the airplane due to the exceeded CG limits, the failure of the pilot to abort the takeoff with sufficient runway remaining, and the inadvertent stall by the pilot while maneuvering shortly after takeoff."
"Substantial","A failure of the pilot to maintain adequate distance/clearance from a cement barricade while taxiing into a parking spot after landing.  A factor was the presence of a barricade adjacent to the parking spot."
"None","The failure of the pilot-in-command to properly evaluate a hazardous weather advisory and his failure to adequately alter course and flight altitude to avoid the area of hazardous weather."
"Substantial","The failure of the pilot-in-command to execute a proper landing flare, which resulted in an improper touchdown attitude and a subsequent loss of directional control.  A factor in the accident was the difference between landing characteristics of the Katana and the Cessna 172, and the resulting habit interference for the pilot."
"Substantial","A total loss of engine power during cruise flight due to an internal disconnection in the fuel injector control assembly as a result of a failure of the maintenance facility to follow proper installation procedures, resulting in a forced landing and collision with trees and the terrain."
"Substantial","The pilot's improper recovery from a bounced landing.  Factors in the accident were the crosswind, and the pilot's lack of experience in make and model."
"Substantial","The pilot's inadequate fuel management, which resulted in fuel starvation."
"Minor","The company maintenance personnel's failure to comply with the service bulletin, which resulted in a fuel boost pump leakage and subsequent fire during taxi.  A factor was the manufacturer's confusing service bulletin."
"Substantial","the inadequate in-flight planning/decision and the flight to a destination alternate not performed by the pilot.  Contributing factors were the crosswind and gusts."
"Substantial","The failure of the pilot to maintain airspeed during the approach resulting in a hard landing.  A contributing factor in the accident was the loss of engine power during final approach due to undetermined reasons."
"Substantial","The pilot not maintaining clearance from the terrain.  A factor was that the pilot misjudged the low altitude flight maneuver."
"Destroyed","A total failure of the engine and subsequent rupture of the crankcase during cruise flight.  A factor in the accident was unsuitable terrain for a forced landing."
"Substantial","The pilot's inadequate compensation for wind conditions, and inadequate weather evaluation resulting in a loss of directional control during the landing roll.  Factors in the accident were the presence of a quartering tailwind, and an inadvertent ground loop."
"Substantial","the reverse rigging of the aileron flight control system resulting in aileron deflections opposite that of the pilot's inputs which lead to an uncontrolled descent into the terrain. Factors include the pilot's failure to detect the misrigged ailerons during his pre-takeoff flight control check."
"Substantial","The pilot's failure to maintain adequate clearance from trees and terrain during the airplane's initial climb."
"Substantial","the wrong runway selected by the pilot which resulted in a tailwind landing condition.  Factors to the accident were the tailwind, the wet runway, the reduced braking action, and the airport perimeter fence."
"Substantial","The pilot's inadvertent encounter with a downdraft, which resulted in a collision with trees.  A factor related to the accident were the downdraft wind conditions."
"Substantial","the pilot's failure to maintain control during the low level maneuver.  A contribiting factor was the windshear."
"Substantial","The failure of cylinder case and thru studs due to fatigue, which resulted in a loss of engine power over unsuitable terrain."
"Substantial","the pilot's intentional low flight and his poor judgment to intentionally fly into known adverse weather, which resulted in an in-flight collision with terrain.  Contributing factors were the dark night conditions and the thunderstorm."
"Substantial","The failure of the pilot to maintain an adequate visual lookout during taxi to avoid striking a post.  A factor in the accident was the inadequate marking of the obstruction by airport personnel."
"Destroyed","The in-flight loss of control of the airplane in instrument meteorological conditions for undetermined reasons."
"Substantial","The pilot's loss of directional control during the landing roll resulting in a ground loop/swerve and collision with a runway marker sign."
"Substantial","The fracture and separation of the number 3 cylinder exhaust valve head resulting in a loss of engine power and a forced landing.  A factor in the accident was the soft field where the forced landing occurred."
"Substantial","The pilot's loss of directional control during the landing roll.  A factor was gusting winds."
"Substantial","The pilot's selection of unsuitable terrain for landing and subsequent nose over during the landing flare.  Factors in the accident were soft, snow-covered terrain on the runway."
"Substantial","A loss of engine power due to the likely unporting of the fuel tank pickups as the helicopter was maneuvered to look at animals on the ground.  Also causal was the pilot's misjudged touchdown point during an autorotational approach, which resulted in the in-flight impact with a tree."
"Destroyed","Failure of the brake system during taxi.  A contributing factor was the pilot's decision to continue taxiing after discovering the brakes were not functioning normally."
"Substantial","The student's improper procedure during a practice emergency that exceeded the instructor's reaction capability."
"Substantial","The pilot's selection of an unsuitable area for taxi.  A factor associated with the accident was a rough/uneven taxiway."
"Substantial","A Canadian goose which crossed the aircraft's flight path and impacted the left wing during the aircraft's final approach."
"Substantial","The fracture of the crankshaft due to fatigue, the propeller separating from the airplane while in-flight, which resulted in the propeller striking the empennage structure and flight controls, yielding the airplane uncontrollable.  Contributing factors to the accident were the previous damage to the crankshaft, the company/operator management disregarding the engine manufacture's service bulletin mandating an engine teardown inspection after a propeller strike event, and the inadequate inspection of the engine by the company maintenance staff."
"Substantial","The pilot's failure to conduct proper preflight planning and preparation, resulting in fuel exhaustion during cruise flight, and the subsequent emergency descent and forced landing to a residential street  colliding with a vehicle, utility pole, mail box, and street sign."
"None","The manufacturer's inadequate quality control, which resulted in a jammed elevator trim actuator."
"Substantial","the pilot's delayed go-around on landing."
"Substantial","The pilot's failure to maintain altitude/clearance while maneuvering.  Factors associated with the accident were flat light conditions, and snow-covered terrain."
"Substantial","total failure of the right main landing gear spring due to fatigue."
"Substantial","the pilot's decision to land on a dry lake bed without first taking action to determine the firmness of the surface. Factors include soft terrain at the location the pilot chose to land."
"None","The in-flight encounter with moderate to severe turbulence in clouds resulting in the serious injury to the flight attendant.  A contributing factor in the accident was the poor in-flight planning by the captain for his allowing beverage service to continue after being advised by ATC of an area of turbulence that was approximately 4 minutes ahead of their position."
"Substantial","The pilot's delay in securing all non-essential electrical equipment in-flight resulting in battery depletion before complete gear extension was accomplished using the normal system and subsequent collapse of the main landing gear.  A contributing factor in the accident was the inadequate manufacture of an electrical cable by company maintenance personnel resulting in separation of one end of the cable in-flight."
"Substantial","The impact with terrain following an inadvertent stall/mush by the pilot during a go-around. A contributing factor was a dust devil."
"Minor","The failure of company maintenance personnel to install the correct hydraulic landing gear extension component, and the failure of company maintenance inspection personnel to comply with proper post maintenance test procedures, resulting in the impossibility of the LMLG to extend, and the subsequent LMLG up landing. A factor in the accident was the improper identification tag marking on the replacement component, and no marking on the component, itself."
"Destroyed","the loss of control due to a jammed trim tab, which resulted from the failure of maintenance personnel to properly secure the trim tab actuator rod when installing a replacement elevator."
"Substantial","the loss of right engine power on take-off as a result of the separation of the right engine's alternate air door, which lodged in the fuel servo air inlet.  A factor was the lack of suitable terrain for a forced landing."
"Substantial","the pilot's failure to remove frost from the airplane prior to departure.  A factor in the accident was the tall wet grass."
"Substantial","The incorrect installation of the propeller reversing lever and carbon block assembly, which resulted in a loss of propeller thrust."
"Substantial","the pilot's failure to sump all the fuel drains during preflight and the subsequent loss of power in the right engine during takeoff, the pilot feathering the wrong engine's propeller during the forced landing, the pilot improperly raising the landing gear with usable runway in front of him, and lack of suitable terrain for the forced landing.  Contributing factors were the water in the fuel, the terrain induced turbulent cross wind condition, and the mountainous/hilly terrain for the forced landing."
"Substantial","the pilot's inadequate preflight inspection, which resulted in a loose control stick on takeoff, rendering the aircraft uncontrollable."
"Substantial","The pilot's failure to maintain aircraft control.  A factor in the accident was the pilot's lack of experience in rotary wing aircraft."
"Substantial","The failure of the pilot to attain the proper touchdown point resulting in a long landing and subsequent collapse of the right main landing gear.  Also, failure of the pilot to perform a go-around following a long landing."
"Substantial","the pilot's failure to maintain clearance with the wires during takeoff.  Contributory factors were the sunglare and the unmarked wires."
"Substantial","the loss of engine power on takeoff initial climb due to fuel starvation as a result of an air blocked fuel line.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","pilot's failure to maintain directional control during landing.  A factor was the crosswind."
"Substantial","A total loss of engine power due to the failure of maintenance to properly secure the fuel selector cover, resulting in the pilot inadvertently selecting ""off"" instead of ""left"" tank, and the subsequent forced landing to uneven terrain."
"Substantial","the pilot's failure to maintain a visual lookout during approach. A contributing factor was the power lines."
"Substantial","The pilot's failure to obtain the proper touchdown point, which resulted in an overrun.  A factor in this accident was the gusty wind condition."
"Destroyed","The pilot's failure to maintain airspeed while landing."
"Substantial","the loss of directional control during landing roll as a result of insufficient nose gear steering authority."
"Destroyed","The pilot performed an inadequate preflight inspection resulting in a loss of engine power at a low altitude because of water contamination."
"Substantial","The failure of the pilot to obtain the assistance of a person to act as a safety pilot while hand propping the engine with the airplane tied down.  A factor in the accident was the failure of the tie down rope."
"Substantial","The pilot's failure to maintain runway alignment during landing.  A factor in the accident was the pilot's lack of experience in conducting soft field landings."
"Substantial","the pilot's failure to maintain directional control during the takeoff initial climb.  Contributory factors were the pilot's lack of experience with the aircraft and the soft terrain."
"Substantial","The pilot's inadequate compensation for the crosswind conditions which resulted in the loss of aircraft control.  Factors associated with the accident were the gusty crosswind condition, the pilot's lack of experience, and the trees which were contacted."
"Substantial","The failure of the pilot to refuel the airplane, which resulted in fuel exhaustion and a forced landing in rough terrain."
"Substantial","the flight instructor's inadequate aircraft control during a practice autorotation which resulted in a hard landing."
"Substantial","fuel exhaustion resulting in a total loss of engine power in cruise flight due to the pilot's failure to refuel the aircraft.  Contributing factors were the lack of suitable terrain for the forced landing, and the dark night condition."
"Substantial","the student pilot's failure to maintain directional control during the landing flare/touchdown.  Contributory factors were the gusty wind and the student pilot's lack of total flight experience."
"Substantial","The pilot's failure to perform fuel consumption calculations and incorrect positioning of the fuel tank selector, which resulted in fuel starvation of the engine."
"Substantial","The pilot's inadequate preflight inspection of the aircraft, which resulted in fuel exhaustion during cruise flight."
"Destroyed","A fuel leak on the cabin and engine sides of the firewall with a probable origin at the firewall pass-through fitting for the fuel pressure gage line.  The fire likely began on the engine side of the firewall near the bottom with the explosive ignition of the pooled fuel/vapors in the cockpit after burn through penetration of the fuselage fabric skin on the bottom aft side of the firewall.  Further refinement of the leak source between the pass-through fitting and the lines/connectors could not be established due to thermal destruction of the components."
"Substantial","Loss of engine power for undetermined reasons.  Trees were a factor."
"Substantial","The high wind conditions encountered as the aircraft began its takeoff roll.  Contributing factors were the variable and gusty wind conditions."
"Destroyed","The pilot's loss of consciousness due to a medical condition, which resulted in his failure to maintain control of the airplane and subsequent impact with rising terrain."
"Destroyed","The pilot's failure to maintain airplane control following a loss of right engine power, which resulted in impact with terrain in an uncontrolled descent.  A contributing factor was the loss of right engine power as a result of the fatigue failure of the propeller shaft coupling."
"Substantial","Fatigue failure of the nose wheel steering cable during the landing roll.  Rough/uneven terrain was a factor."
"Substantial","The partial failure of the aircraft tug for undetermined reasons."
"Substantial","The pilot's improper use of flight controls during a bounced landing, and subsequent collision with the ground. A factor of the collision is the rough and uneven terrain."
"Substantial","A stall/mush inadvertently encountered by the pilot-in-command.  Failure to maintain adequate airspeed for flight and inadequate remedial action contributed to the accident."
"Substantial","the pilot's failure to maintain the proper decent rate during the flare resulting in a hard landing. Contributing factors icing conditions and accumulations of wing ice."
"Substantial","the pilot's inadequate compensation for strong, gusty, shifting winds while hovering in ground effect. Factors include a sudden
directional change and  increase in velocity of the gusty wind conditions."
"Substantial","The pilot's inadvertent stall/mush during the final phase of the landing approach.  A factor associated with the accident is a crosswind."
"Substantial","The pilot's failure to maintain the proper descent and his failure to maintain directioinal control during landing."
"Substantial","THE STUDENT PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL DURING LANDING ROLL.  A FACTOR IS THE DITCH."
"Substantial","the in-flight fire for an undetermined reason, which resulted in a forced landing.  A contributory factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's failure to reach the proper touchdown point, and his subsequent failure to abort the landing."
"Substantial","the pilot's failure to maintain control during the go-around.  A contributing factor was the wind gust."
"Substantial","Failure of the engine-to-transmission driveshaft coupling due to fatigue."
"Destroyed","A leaking engine oil outlet line fitting in the #1 engine compartment, resulting in an oil fire in the engine compartment."
"Substantial","Failure of the pilot to maintain directional control of the airplane during the landing roll.  A factor was the worn nose wheel steering assembly."
"Substantial","the flight instructor's improper decision to partially retract the spoilers while the student was attempting to land. Factors include a tailwind, wet grass, and a taxiway sign off the end of the landing area."
"Substantial","The pilot's inadequate compensation for the wind conditions.  Wind gusts were a factor."
"Substantial","A partial power loss due to a stuck exhaust valve in the # 2 cylinder, which resulted in a forced landing.  A factor was the rising terrain."
"Substantial","The pilot's failure to refuel the airplane, and subsequent fuel exhaustion.  A factor in the accident was an inadvertent stall during an emergency descent/landing."
"Substantial","The pilot's inadequate compensation for an existing crosswind condition."
"Substantial","the improper installation of the left landing gear hydraulic line which allowed it to separate and port the hydraulic fluid.  This resulted in the landing gear extending during a water landing."
"Substantial","The pilot's stall/mush as a result of his inadequate airspeed and improperly planned final approach."
"Substantial","Failure of the pilot to properly flush out the fuel system after the header tank became submerged in water, which precipitated a loss of engine power and forced landing in a soft open dirt area."
"Destroyed","an inadvertent stall during an instrument approach, which resulted in a loss of control. Contributing factors were the pilot's attention being diverted by an abnormal indication, conditions conducive to airframe icing, and the pilot's lack of total experience in the type of operation (icing conditions) in aircraft make/model."
"Substantial","the pilot's failure to adequately compensate for gusty tailwind conditions, resulting in an excessive rate of descent at touchdown. Factors include gusty tailwinds during the landing sequence."
"Destroyed","The pilot not maintaining aircraft control during the initial climb after takeoff and the inadvertent stall/spin.  A factor to the accident was the pilot's total lack of experience in accident airplane."
"Substantial","A loss of engine power due to fuel exhaustion for undetermined reasons.  A factor in this accident was the pilot's failure to visual check the airplane's fuel quantity prior to takeoff."
"Substantial","The pilot's improper decision to delay his landing.  A factor related to the accident was the loss of thermal lift."
"Destroyed","the student pilot not maintaining clearance from the tower support wire during the practice emergency landing maneuver and the instructor pilot's inadequate supervision of the student pilot.  Factors relating to the accident were the static wire and the low altitude."
"Substantial","a loss of engine power due to fuel exhaustion which resulted in a forced landing, and subsequent impact with a sign and a ditch."
"Substantial","The pilot-in-command's failure to verify the fuel supply before flight, and his improper fuel management, that resulted in fuel starvation and loss of engine power during takeoff climb resulting in a forced landing and collision with ground obstacles."
"Substantial","The pilot's inadequate preflight preparation, which resulted in insufficient fuel in the forward tank and loss of engine power during the climb.  Also causal, was the pilot's failure to maintain airspeed after the engine failure, which resulted in an inadvertent stall and impact with the ground."
"Substantial","the pilot's inadequate visual lookout during an approach and landing in open water. Factors include a large wave/swell at the location where the pilot elected to land his float-equipped airplane."
"Substantial","A failure of the tailwheel spring assembly due to fatigue during touch and go landings.  A factor in the accident was an inadequate annual inspection by maintenance personnel."
"Substantial","the pilot's misjudgment of the flare, which resulted in a hard landing. Contributing factors were weather conditions conducive to carburetor icing, the pilot's delay in applying carburetor heat, and his inattention to the carburetor air temperature gauge."
"Substantial","the student pilot's misjudged landing flare and improper use of the elevator control."
"Substantial","The student pilot's failure to maintain appropriate airspeed and to configure the airplane for climb-out."
"Destroyed","The student instructor's failure to maintain the airplane's minimum control airspeed during a practice single-engine approach, and the flight instructor's failure to direct or accomplish a timely go-around, resulting in loss of aircraft control with insufficient altitude for recovery.  A factor was the student instructor's failure to maintain runway alignment during the approach."
"Minor","jamming of the nose landing gear actuator due to improper painting procedures by other maintenance personnel which resulted in a wheels up landing."
"Substantial","The inadequate compensation for the crosswind by the student pilot.  Additional factors included the student pilot's lack of total flight time,  the runway sign and the crosswind."
"Substantial","the excessive touchdown airspeed by the pilot."
"Substantial","Right main landing gear brake lockup during landing rollout for undetermined reasons."
"Substantial","The pilot's inadequate crosswind correction compensation during landing and his failure to maintain proper alignment with the usable runway.  A contributing factor was the presence of bushes in proximity to the airstrip."
"Substantial","The pilot's inadequate preflight planning that resulted in the in-flight collision with a fence during an attempted takeoff from a grass strip."
"Substantial","The pilot's improper landing flare.  A factor was the crosswind."
"Substantial","The pilot's inadequate aircraft preflight inspection, which resulted in a total loss of engine power during climb due to fuel contamination."
"Substantial","A system failure for undetermined reasons while on final approach.  The pilot's failure to maintain control of the aircraft was a factor."
"Destroyed","An abrupt application of the tail rotor/anti-torque pedal by an unknown pilot resulting in tail rotor contact with the tail boom.  Tail rotor blades and empennage assembly separation, and trees were factors."
"Substantial","The pilot's failure to maintain directional control during landing rollout in a gusty and crosswind condition."
"Destroyed","intentional buzzing by both pilots and their failure to maintain clearance with transmission wires.  A contributing factor was the sun glare."
"Substantial","Loss of aircraft control while landing.  Factors include soft/muddy terrain."
"Substantial","the rocker assembly failure during low level maneuvering. Factors were the soft and sandy terrain and the unsuitable terrain the pilot encountered during the forced landing."
"Substantial","the pilot's failure to maintain directional control during landing roll.  Contributing factors were gusting crosswinds and the pilots's lack of experience in aircraft make and model."
"Substantial","The student pilot's failure to adequately compensate for wind conditions while doing a touch-and-go landing."
"Substantial","loss of partial engine power due to carburetor icing."
